"tree_type","pair_type","excluded_status","pairwise_distance"
"within-host","different_household",NA,0.002265
"within-host","different_household",NA,0.006897
"within-host","different_household",NA,0.002644
"within-host","different_household",NA,0.002153
"within-host","different_household",NA,0.00195
"within-host","different_household",NA,0.004287
"within-host","different_household",NA,0.003815
"within-host","different_household",NA,0.004701
"within-host","different_household",NA,0.002353
"within-host","different_household",NA,0.002005
"within-host","different_household",NA,0.004406
"within-host","different_household",NA,0.004262
"within-host","different_household",NA,0.002273
"within-host","different_household",NA,0.002233
"within-host","different_household",NA,0.002625
"within-host","different_household",NA,0.00195
"within-host","different_household",NA,0.001796
"within-host","different_household",NA,0.001598
"within-host","different_household",NA,0.001688
"within-host","different_household",NA,0.001619
"within-host","different_household",NA,0.001555
"within-host","different_household",NA,0.002008
"within-host","different_household",NA,0.001784
"within-host","different_household",NA,0.001708
"within-host","different_household",NA,0.00198
"within-host","different_household",NA,0.00312
"within-host","different_household",NA,0.00186
"within-host","different_household",NA,0.001939
"within-host","different_household",NA,0.001619
"within-host","different_household",NA,0.002196
"within-host","different_household",NA,0.001818
"within-host","different_household",NA,0.001823
"within-host","different_household",NA,0.001671
"within-host","different_household",NA,0.001661
"within-host","different_household",NA,0.001768
"within-host","different_household",NA,0.001739
"within-host","different_household",NA,0.001715
"within-host","different_household",NA,0.001951
"within-host","different_household",NA,0.001667
"within-host","different_household",NA,0.001701
"within-host","different_household",NA,0.001703
"within-host","different_household",NA,0.001949
"within-host","different_household",NA,0.001796
"within-host","different_household",NA,0.002395
"within-host","different_household",NA,0.002207
"within-host","different_household",NA,0.002321
"within-host","different_household",NA,0.002444
"within-host","different_household",NA,0.002781
"within-host","different_household",NA,0.001946
"within-host","different_household",NA,0.002021
"within-host","different_household",NA,0.002157
"within-host","different_household",NA,0.002152
"within-host","different_household",NA,0.002061
"within-host","different_household",NA,0.002309
"within-host","different_household",NA,0.001818
"within-host","different_household",NA,0.002215
"within-host","different_household",NA,0.001888
"within-host","different_household",NA,0.001894
"within-host","different_household",NA,0.00194
"within-host","different_household",NA,0.001936
"within-host","different_household",NA,0.00161
"within-host","different_household",NA,0.001002
"within-host","different_household",NA,0.001667
"within-host","different_household",NA,0.001366
"within-host","different_household",NA,0.001363
"within-host","different_household",NA,0.001496
"within-host","different_household",NA,0.001518
"within-host","different_household",NA,0.001337
"within-host","different_household",NA,0.001709
"within-host","different_household",NA,0.0014
"within-host","different_household",NA,0.001213
"within-host","different_household",NA,0.001159
"within-host","different_household",NA,0.001424
"within-host","different_household",NA,0.001398
"within-host","different_household",NA,0.001829
"within-host","different_household",NA,0.001973
"within-host","different_household",NA,0.001639
"within-host","different_household",NA,0.002613
"within-host","different_household",NA,0.001783
"within-host","different_household",NA,0.001337
"within-host","different_household",NA,0.001631
"within-host","different_household",NA,0.001444
"within-host","different_household",NA,0.001127
"within-host","different_household",NA,0.001312
"within-host","different_household",NA,0.001135
"within-host","different_household",NA,0.000923
"within-host","different_household",NA,0.001102
"within-host","different_household",NA,0.000752
"within-host","different_household",NA,0.001303
"within-host","different_household",NA,0.001327
"within-host","different_household",NA,0.001364
"within-host","different_household",NA,0.000942
"within-host","different_household",NA,0.001072
"within-host","different_household",NA,0.000833
"within-host","different_household",NA,0.000786
"within-host","different_household",NA,0.001227
"within-host","different_household",NA,0.001286
"within-host","different_household",NA,0.001014
"within-host","different_household",NA,0.000875
"within-host","different_household",NA,0.00159
"within-host","different_household",NA,0.001397
"within-host","different_household",NA,0.001461
"within-host","different_household",NA,0.001767
"within-host","different_household",NA,0.001893
"within-host","different_household",NA,0.002257
"within-host","different_household",NA,0.001899
"within-host","different_household",NA,0.002127
"within-host","different_household",NA,0.005022
"within-host","different_household",NA,0.009811
"within-host","different_household",NA,0.005063
"within-host","different_household",NA,0.005138
"within-host","different_household",NA,0.004659
"within-host","different_household",NA,0.005321
"within-host","different_household",NA,0.005154
"within-host","different_household",NA,0.005028
"within-host","different_household",NA,0.005375
"within-host","different_household",NA,0.005445
"within-host","different_household",NA,0.005407
"within-host","different_household",NA,0.005352
"within-host","different_household",NA,0.004892
"within-host","different_household",NA,0.004941
"within-host","different_household",NA,0.006668
"within-host","different_household",NA,0.005458
"within-host","different_household",NA,0.004903
"within-host","different_household",NA,0.005094
"within-host","different_household",NA,0.005365
"within-host","different_household",NA,0.00522
"within-host","different_household",NA,0.004972
"within-host","different_household",NA,0.005313
"within-host","different_household",NA,0.005562
"within-host","different_household",NA,0.004864
"within-host","different_household",NA,0.004913
"within-host","different_household",NA,0.004329
"within-host","different_household",NA,0.00428
"within-host","different_household",NA,0.003811
"within-host","different_household",NA,0.003834
"within-host","different_household",NA,0.004849
"within-host","different_household",NA,0.004585
"within-host","different_household",NA,0.004685
"within-host","different_household",NA,0.004282
"within-host","different_household",NA,0.007062
"within-host","different_household",NA,0.004529
"within-host","different_household",NA,0.004271
"within-host","different_household",NA,0.004339
"within-host","different_household",NA,0.005286
"within-host","different_household",NA,0.00453
"within-host","different_household",NA,0.004406
"within-host","different_household",NA,0.004735
"within-host","different_household",NA,0.004289
"within-host","different_household",NA,0.005644
"within-host","different_household",NA,0.004065
"within-host","different_household",NA,0.004411
"within-host","different_household",NA,0.004297
"within-host","different_household",NA,0.005048
